,0,1,2,3,4,5,6,7,8,haiku,lang
252,late harvester --,sickle moon in the sky,over the mature corn,,,,,,,"late harvester --
sickle moon in the sky
over the mature corn",en
253,silent phone,only the ring,from his teacup,,,,,,,"silent phone
only the ring
from his teacup",en
254,the teacup,as empty as,my evening,,,,,,,"the teacup
as empty as
my evening",en
255,a teacup,to fill,my afternoon,,,,,,,"a teacup
to fill
my afternoon",en
256,my day,measured out,in teaspoons,,,,,,,"my day
measured out
in teaspoons",en
257,discarding,the tea leaves--,distant thunder,,,,,,,"discarding
the tea leaves--
distant thunder",en
258,mélèze roux,herbe bleue -,l'aube,,,,,,,"mélèze roux
herbe bleue -
l'aube",fr
259,dans le velux,jambes enchevêtrées,et neige,,,,,,,"dans le velux
jambes enchevêtrées
et neige",fr
260,la route de travail,dans les feuilles et les galets,un sillon profond,,,,,,,"la route de travail
dans les feuilles et les galets
un sillon profond",fr
261,ce soir dans la rue,un parfum du chocolat,noir,,,,,,,"ce soir dans la rue
un parfum du chocolat
noir",fr
262,les dos noirs des pierres tombales,-- quelques couleurs à l'horizon,après le coucher de soleil,,,,,,,"les dos noirs des pierres tombales
-- quelques couleurs à l'horizon
après le coucher de soleil",fr
263,moonlight,baby's cheek,at breast,,,,,,,"moonlight
baby's cheek
at breast",en
264,cold night,the clink of bottles,in a grocery cart,,,,,,,"cold night
the clink of bottles
in a grocery cart",en
265,contemplating,nightfall---,the stone buddha,,,,,,,"contemplating
nightfall---
the stone buddha",en
266,the offering,in front of the stone buddha,eaten by cats,,,,,,,"the offering
in front of the stone buddha
eaten by cats",en
267,"between two rivers,",the echo of,his mallet,,,,,,,"between two rivers,
the echo of
his mallet",en
268,sunday afternoon---,a steam train,pushes back the fog,,,,,,,"sunday afternoon---
a steam train
pushes back the fog",en
269,winter clouds,seem to move slower too,in the cold night,,,,,,,"winter clouds
seem to move slower too
in the cold night",en
270,it happened,just after the full moon,snow,,,,,,,"it happened
just after the full moon
snow",en
271,long-distance train,men on the platform,talk on their mobiles,,,,,,,"long-distance train
men on the platform
talk on their mobiles",en
272,two minutes silence,a cell phone keeps ringing,Nehru smiles from his frame,,,,,,,"two minutes silence
a cell phone keeps ringing
Nehru smiles from his frame",en
273,Venus,a faint glow,from the refinery,,,,,,,"Venus
a faint glow
from the refinery",en
274,Mimi kakishi,Ato mata muon,Miyukibare,,,,,,,"Mimi kakishi
Ato mata muon
Miyukibare",sw
275,terrasse au midi,toutes les ombres,sentent l'anis,,,,,,,"terrasse au midi
toutes les ombres
sentent l'anis",fr
276,flocon de neige,"sans une parole, la femme",bâillonnée,,,,,,,"flocon de neige
sans une parole, la femme
bâillonnée",fr
277,predawn,a grey dove outside,my window,,,,,,,"predawn
a grey dove outside
my window",en
278,solstice,a shaft of sunlight,through rock,,,,,,,"solstice
a shaft of sunlight
through rock",en
279,rainburst--,thoughts of you,fading,,,,,,,"rainburst--
thoughts of you
fading",en
280,desert wind,the potter's fingerprints,on an ancient shard,,,,,,,"desert wind
the potter's fingerprints
on an ancient shard",en
281,another test,another doctor visit,long winter nights,,,,,,,"another test
another doctor visit
long winter nights",en
282,arctic air,soothes the desert heat . . .,blended whiskey,,,,,,,"arctic air
soothes the desert heat . . .
blended whiskey",en
283,December dusk -,a solitary pine tree,all lit up,,,,,,,"December dusk -
a solitary pine tree
all lit up",en
284,christmas services,a cellular phone rings out,handel's messiah,,,,,,,"christmas services
a cellular phone rings out
handel's messiah",en
285,dried wheat grass---,a bleached blond,combing her hair,,,,,,,"dried wheat grass---
a bleached blond
combing her hair",en
286,no stars,in the sky tonight,hungry carp,,,,,,,"no stars
in the sky tonight
hungry carp",en
287,breathless --,camellias falling,one by one,,,,,,,"breathless --
camellias falling
one by one",en
288,musée de l'armée --,les casques allemands,sont attachés,,,,,,,"musée de l'armée --
les casques allemands
sont attachés",fr
289,in the dry grass,frost appears,on the fallen pears,,,,,,,"in the dry grass
frost appears
on the fallen pears",en
290,slate skys,chalk mark outlines,on the sidewalk,,,,,,,"slate skys
chalk mark outlines
on the sidewalk",en
291, food channel --,"between commercials,",dinner burns,,,,,,," food channel --
between commercials,
dinner burns",en
292,autumn,along the highway,buzzards wait,,,,,,,"autumn
along the highway
buzzards wait",en
293,together,we watch the eclipse,far apart,,,,,,,"together
we watch the eclipse
far apart",en
294,last leaves,shaking on a branch,late migrators,,,,,,,"last leaves
shaking on a branch
late migrators",en
295,empty sky,she turns love letters,into wings,,,,,,,"empty sky
she turns love letters
into wings",en
296,a butterfly,hovers above me,friend's funeral,,,,,,,"a butterfly
hovers above me
friend's funeral",en
297,Entre le tilleul,et le monument aux morts,défilé de feuilles.,,,,,,,"Entre le tilleul
et le monument aux morts
défilé de feuilles.",fr
298,sortie du métro,polyphonies corses,téléphoniques,,,,,,,"sortie du métro
polyphonies corses
téléphoniques",fr
299,sur la neige,un petit sac d'ordures bleu,couleur du ciel,,,,,,,"sur la neige
un petit sac d'ordures bleu
couleur du ciel",fr
300,windstorm,the berry stains,on the path,,,,,,,"windstorm
the berry stains
on the path",en
301,Remembrance Day-,even the traffic,pauses for 2 minutes,,,,,,,"Remembrance Day-
even the traffic
pauses for 2 minutes",en
302,21-gun salute-,mortar fire echoes,in his eyes,,,,,,,"21-gun salute-
mortar fire echoes
in his eyes",en
303,dignified march-,veterans and peacekeepers,pass the applause,,,,,,,"dignified march-
veterans and peacekeepers
pass the applause",en
304, bare trees,in patches of fog,from here,to the scarecrow,,,,,," bare trees
in patches of fog
from here
to the scarecrow",en
305,wild fires,in the mist,the ashes,,,,,,,"wild fires
in the mist
the ashes",en
306,growing darkness,gleam of setting sun,on Chinese Lantern,,,,,,,"growing darkness
gleam of setting sun
on Chinese Lantern",en
307,rain scented air,a thousand frogs,croaking,,,,,,,"rain scented air
a thousand frogs
croaking",en
308,grey sky,the cluster of white breaks up,into egrets,,,,,,,"grey sky
the cluster of white breaks up
into egrets",en
309,night traffic,the silent lake,seems much bigger,,,,,,,"night traffic
the silent lake
seems much bigger",en
310,little pawprints,in the concrete,from the lost kitten,,,,,,,"little pawprints
in the concrete
from the lost kitten",en
311,Danube dripping,from a housewife's bag,the tail of a carp,,,,,,,"Danube dripping
from a housewife's bag
the tail of a carp",en
312,Nuit des Sans-abri,,,,,,,,,Nuit des Sans-abri,fr
313,nuages chair de poisson,sur le pare-brise de l'ambulance,,,,,,,,"nuages chair de poisson
sur le pare-brise de l'ambulance",fr
314,secousses du tramway,pointe de l' hameçon,au soleil,,,,,,,"secousses du tramway
pointe de l' hameçon
au soleil",fr
315,la lune blanche,un peu fondu,le givre sur les toits,,,,,,,"la lune blanche
un peu fondu
le givre sur les toits",fr
316,amefuri no,  minoru kaki yori,     hito shizuku,,,,,,,"amefuri no
  minoru kaki yori
     hito shizuku",sw
317,false dawn,sometimes i still,think of home,,,,,,,"false dawn
sometimes i still
think of home",en
318,first frost -,a twirl of yellow leaves,as the bus passes,,,,,,,"first frost -
a twirl of yellow leaves
as the bus passes",en
319,après l'orage,tout le monde en bave,même l'escargot,,,,,,,"après l'orage
tout le monde en bave
même l'escargot",fr
320,the same moon,shines on us both --,these cold sheets,,,,,,,"the same moon
shines on us both --
these cold sheets",en
321,sodium light -,a darker world beneath,the puddles,,,,,,,"sodium light -
a darker world beneath
the puddles",en
322,lockerbie -,the long walk from graveyard,into town,,,,,,,"lockerbie -
the long walk from graveyard
into town",en
323,silbury hill -,my wife pregnant with our,first child,,,,,,,"silbury hill -
my wife pregnant with our
first child",en
324,north winds –,snow flakes and,the smell of smoke,,,,,,,"north winds –
snow flakes and
the smell of smoke",en
325,burning leaves,this foggy evening---,two kinds of smoke,,,,,,,"burning leaves
this foggy evening---
two kinds of smoke",en
326,stoplight,each of us tapping,to our own beat,,,,,,,"stoplight
each of us tapping
to our own beat",en
327,laundry encounter,a plastic shark,falls out of a bath towel,,,,,,,"laundry encounter
a plastic shark
falls out of a bath towel",en
328,'seven samurai' *,half the village burning,while my son makes popcorn,,,,,,,"'seven samurai' *
half the village burning
while my son makes popcorn",en
329,hard winter ground -,we argue about,the constellations,,,,,,,"hard winter ground -
we argue about
the constellations",en
330,road accident,a crowd of teddies stares out,from the shop window,,,,,,,"road accident
a crowd of teddies stares out
from the shop window",en
331,giorni più brevi,nella cesta dei cachi,un grillo morto,,,,,,,"giorni più brevi
nella cesta dei cachi
un grillo morto",it
332,deep night,one cricket chirps,anyhow,,,,,,,"deep night
one cricket chirps
anyhow",en
333,ants transport a moth,traffic noise penetrates,the bamboo grove,,,,,,,"ants transport a moth
traffic noise penetrates
the bamboo grove",en
334,autumn breakfast,the last mosquito's hover,over my campfire,,,,,,,"autumn breakfast
the last mosquito's hover
over my campfire",en
335,passing monarchs --,a few leaves flutter,to the road,,,,,,,"passing monarchs --
a few leaves flutter
to the road",en
336,waiting for winter---,eating rice balls,under a full moon,,,,,,,"waiting for winter---
eating rice balls
under a full moon",en
337,"scooping steamed rice,",the laborer,at sundown,,,,,,,"scooping steamed rice,
the laborer
at sundown",en
338,windswept afternoon---,tea scent,on my tongue,,,,,,,"windswept afternoon---
tea scent
on my tongue",en
339,"physalis séchés - le couteau noir, posé pour peler l'orange",,,,,,,,,"physalis séchés - le couteau noir, posé pour peler l'orange",fr
340,grandfather's grave,just another stone,for the dragonfly,,,,,,,"grandfather's grave
just another stone
for the dragonfly",en
341,a sleepless hour,first the geese,then the train,,,,,,,"a sleepless hour
first the geese
then the train",en
342,fall clock,the deer by the pond,an hour earlier,,,,,,,"fall clock
the deer by the pond
an hour earlier",en
343,morning troubles,it starts with a dead cricket,in the spider web,,,,,,,"morning troubles
it starts with a dead cricket
in the spider web",en
344,cotton fields*,the only white left,is the snow,,,,,,,"cotton fields*
the only white left
is the snow",en
345,l'imprimante crache,le phénix millénaire--,une autre feuille,,,,,,,"l'imprimante crache
le phénix millénaire--
une autre feuille",fr
346,Brumes d'octobre,le bruit de la corne,sans le bateau,,,,,,,"Brumes d'octobre
le bruit de la corne
sans le bateau",fr
347,peach moon . . .,the thin slice left,for us,,,,,,,"peach moon . . .
the thin slice left
for us",en
348,grassy moon,we slip off our shoes,to count the stars,,,,,,,"grassy moon
we slip off our shoes
to count the stars",en
349,alba brumosa,funghi rossi crescono,fra le tombe,,,,,,,"alba brumosa
funghi rossi crescono
fra le tombe",it
350,sulla collina,gregge di case sparse,senza pastore,,,,,,,"sulla collina
gregge di case sparse
senza pastore",it
351,barbone morto,passaggio di stagione,tra i rifiuti,,,,,,,"barbone morto
passaggio di stagione
tra i rifiuti",it
352,l'ombre,de son piercing au menton,marque midi,,,,,,,"l'ombre
de son piercing au menton
marque midi",fr
353,par la fenêtre -,un bleu comme ça,pour nos fauteuils,,,,,,,"par la fenêtre -
un bleu comme ça
pour nos fauteuils",fr
354,the fish lazily surface,in the pond nearby ~,the sun on my teacup,,,,,,,"the fish lazily surface
in the pond nearby ~
the sun on my teacup",en
355,Parting the fog,blue nose of the ferry,homeward bound,,,,,,,"Parting the fog
blue nose of the ferry
homeward bound",en
356,Autumn sky,many layers of clouds,pile of leaves,,,,,,,"Autumn sky
many layers of clouds
pile of leaves",en
357,Autumn sky,shades of pink and purple,field of pumkins,,,,,,,"Autumn sky
shades of pink and purple
field of pumkins",en
358,last light,sounds of crows settling,in the tree,,,,,,,"last light
sounds of crows settling
in the tree",en
359,Week-end à la campagne.,Du trèfle que sous l'auto -,première neige.,,,,,,,"Week-end à la campagne.
Du trèfle que sous l'auto -
première neige.",fr
360,ce matin,le rouge des tramways,première neige,,,,,,,"ce matin
le rouge des tramways
première neige",fr
361,une nouvelle voiture,la feuille se pose plus loin,-- bruine,,,,,,,"une nouvelle voiture
la feuille se pose plus loin
-- bruine",fr
362,5 heures du matin,derrière la buée du souffle,ceinture de l'Orion,,,,,,,"5 heures du matin
derrière la buée du souffle
ceinture de l'Orion",fr
363,chirping birds --,the instant I press,the stop button,,,,,,,"chirping birds --
the instant I press
the stop button",en
364,plasma tv -,in high resolution,the homeless man's face,,,,,,,"plasma tv -
in high resolution
the homeless man's face",en
365,the sound of geese,drowned by the sound of the train,this morning,,,,,,,"the sound of geese
drowned by the sound of the train
this morning",en
