0,1,2,source,0_syllables,1_syllables,2_syllables
In the room,white lillies in the vase,scent of pepper,tempslibres,3,6,4
Light-studded ferry,passes in the starless night,another week-end,tempslibres,3,7,4
The sunrise,fresh salmon on ice,so very pink,tempslibres,3,5,4
A tunnel of fog,connects the two islands,warmth of my duvet,tempslibres,5,6,5
October morning,a new pair of new wool socks,on my very cold feet,tempslibres,5,7,6
Last night of Summer,the bright full moon of last night,hidden by a cloud,tempslibres,5,7,5
All my lights off,to watch the rising,of the Harvest moon,tempslibres,4,5,5
In this desert,a memory of blue sea --,shells in the sand,tempslibres,4,7,4
Federal Express,reaches me through the fog,plumeria lei,tempslibres,"4,5",6,5
Midnight and full moon,my neighbour asks to borrow,the vacum cleaner,tempslibres,5,7,5
The blue iris,colour changing hue,soft Summer rain,tempslibres,4,5,4
A sea change,the weather turns cool,hot rum and lemon,tempslibres,3,5,5
moldy odors,in the nursing home,dying elders,tempslibres,4,5,4
february 15th,a broken heart,in the cookie box,tempslibres,6,4,5
smell of newsprint,twenty beauty queens,with one smile,tempslibres,4,5,3
gust of wind,a womans face lights up,by the cooking fire,tempslibres,3,6,"5,6"
rice-green pond,dark herons stand,in an arc,tempslibres,2,4,3
midnight,the moon dances,in my teacup,tempslibres,2,4,4
burnt-down house,yellow elders bloom,in the garden,tempslibres,2,5,4
waiting for moonrise,the moving red dot,becomes a plane,tempslibres,5,5,4
cool morning,a fog of insecticide,in the red truck's wake,tempslibres,3,7,5
harsh sunlight,faces peep through the bars,of the police van,tempslibres,3,6,5
moonrise,a woman croons,to her baby,tempslibres,2,4,4
burnt house,the owners name,on the iron gate,tempslibres,2,4,5
petrol fumes,smell of fresh bread,from the bakery,tempslibres,3,4,5
clacking rails,five languages,in the compartment,tempslibres,3,4,5
small talk,sixteen ants on the wall...,seventeen...,tempslibres,2,6,3
flight of egrets,a boy stands with his ear,to a telephone pole,tempslibres,4,6,6
last station,the king of hearts on the floor,of the compartment,tempslibres,3,7,5
sultry afternoon,little mirages,above the tar,tempslibres,5,5,4
melting tar,silk cotton drifts,across the road,tempslibres,3,4,4
smoky moon,a cloud of insects around,the street light,tempslibres,3,7,3
crystal morning,dried puke,on the car door,tempslibres,4,2,4
a bullock cart,loaded high with shoe boxes,the drivers cracked feet,tempslibres,4,7,5
empty street,the For Sale sign,overgrown with weeds,tempslibres,3,4,5
tree less corners,the tall shadows,of beer bottles,tempslibres,4,4,4
faded asters,the cortege pauses at her gate,moves on,tempslibres,4,8,2
biopsy,just a cyst - this time,a break in the clouds,tempslibres,3,5,5
plastic flowers,placed beside the highway,memory fades,tempslibres,4,6,4
troubled sleep --,steam rises,from a storm sewer,tempslibres,3,3,5
Wall Street watch --,the unnerving plunge,of her neckline,tempslibres,3,5,4
my daughter's 18th birthday --,the warming sunshine,in her hair,tempslibres,7,5,3
orthopedist's office --,all paintings tilted,slightly off center,tempslibres,6,5,5
stood up,by a part-time lover --,shooting star,tempslibres,2,5,3
english newspaper,a lot of starving people,between fish & chips,tempslibres,5,7,4
five star hotel -,a cockroach scurries,pool-side,tempslibres,4,5,1
his old hands,working the soil -,smell of brewed tea::    ses vieilles mains,tempslibres,3,4,7
forty-six years,writing my name,yellow in snow,tempslibres,3,4,4
at the memorial,a hawk's cry,scatters her ashes,tempslibres,6,3,5
hawk's hover -,the view of calm seas,through a gunport,tempslibres,3,5,4
mothers' day,I let the phone ring longer,for her,tempslibres,3,7,2
mid October,the sudden thinness,of my robe,tempslibres,4,5,3
wood flute music,through an open window,the crow's rasp,tempslibres,4,6,3
scenting two pages,of the Webster's Unabridged . . .,wild lilac,tempslibres,5,7,3
Valentine's dinner--,nothing on the menu,suits him,tempslibres,5,6,2
"from the armoire,",scent of passion in a candle,yet to be burned,tempslibres,4,8,4
stroke of  . . .,his snoring punctuated,by fireworks,tempslibres,2,7,3
a new year's bonfire,misty rain,on the embers,tempslibres,6,3,4
typhoon warning,a farmer on the path,between the rice fields,tempslibres,4,6,5
the farmer lady,a few daffodils in a basket,of white radish,tempslibres,5,9,4
March wind,a strawberry off,from my birthday cake,tempslibres,2,5,5
just extinguished-,smoke slowly curls,out pumpkin eyes,tempslibres,4,4,4
afternoon rain-,a neighbor opening her curtains,too,tempslibres,4,9,1
New-York September,the one-way sign points towards,the billowing cloud,tempslibres,4,"5,6",5
Full moon night -,the shape of the mannequins' breasts,in the shop-window,tempslibres,3,8,3
inhaling spring -,her new breast,two months old,tempslibres,"4,5",3,3
requiem mass -,flecks of dust drift,in stifling air,tempslibres,4,4,"4,5"
morning rush,he finds a half red kiss,on his coffee cup,tempslibres,3,6,5
tense meeting --,my chewing gum,out of flavor,tempslibres,3,4,4
puddle,from last nights rain,reflects the clouds,tempslibres,2,4,4
cold snap -,more than my prints,on the camera,tempslibres,2,4,"4,5"
Day of the Oscars-,in the Spring sun,I plant onions...,tempslibres,5,"4,5",4
yellow walnut leaves,slowly appear on the lawn--,early morning light,tempslibres,5,7,5
morning commute-,headlights fade,in the whiteout,tempslibres,4,3,4
solitary walk -,at nightfall the flash,of distant fireworks,tempslibres,5,5,5
sunlit helmet,the young soldier's eyes,invisible,tempslibres,4,5,4
sunday lunch,the chatter of children,among hard drinkers,tempslibres,3,6,5
eclipse,the path of the sun,blocked by billboards,tempslibres,2,5,4
harvest moon,i gather my thoughts,for winter,tempslibres,3,5,3
night of meteorites --,enjoying the sound of rain,instead,tempslibres,6,7,2
driving home,full moon,dancing in puddles,tempslibres,3,2,5
late summer,graffiti overgrown,with ivy,tempslibres,3,6,3
meditation room--,books of wisdom,lean left . . . and right,tempslibres,5,4,4
turning north--,sand from both oceans,in little jars,tempslibres,3,5,4
cool morning--,at the top of the rise,deer pass in the fog,tempslibres,3,6,5
sipping fresh cider--,both dippers,among the far stars,tempslibres,5,3,5
Sentinels of spring...,kites bobbing for attention,in saucy March winds,tempslibres,"5,6",7,5
three days,of cold autumn rain --,a dull ache,tempslibres,2,5,3
waiting,for my illness to end --,November rain,tempslibres,2,6,4
my body,aching and feverish,after nightfall --,tempslibres,3,6,4
"thank you, mango---",for a moment i was,somewhere else,tempslibres,4,6,3
amber leaves,caught between 'for sale',and 'sold',tempslibres,3,5,2
season of mists. . .,a calling of wild geese,arrows south,tempslibres,4,6,3
old manor house,each empty room has,its own echo,tempslibres,4,5,4
hugs --,the spider on my,old friend's arm,tempslibres,1,5,3
spray painted log --,I try not to sit,on the word f***,tempslibres,4,5,4
between the yoga,and chi gung classes --,scent of burning sage,tempslibres,5,5,5
a few yellow leaves --,the construction site grows,towards my favorite tree,tempslibres,5,6,"5,6,7"
horizonless --,sky-colored ice,turns in the bay,tempslibres,4,2,4
week of rain --,the insect's trail,on the flattened leaf,tempslibres,3,4,5
noon glare --,the wind blows sand,out to sea,tempslibres,2,4,3
a white night --,salmon bones,curled against a log,tempslibres,3,3,5
dawn storm --,a bit of mountain ash,stirred into the snow,tempslibres,2,6,5
approaching winter --,I leave the seashell,at the bottom of my purse,tempslibres,5,5,7
morning haze --,ice drifts around,the river stones,tempslibres,3,4,4
a hawk searches,the dry grass --,sundogs,tempslibres,4,3,2
berry stains,along the sidewalk --,hint of frost,tempslibres,3,5,3
a bright morning --,the mud pulls away,from a frosty stone,tempslibres,4,5,5
sharp air --,the patch of blue,changes shape,tempslibres,2,4,3
new coolness --,a train's light moves,along the mountainside,tempslibres,3,4,6
a cold morning --,goose honks echo,off the pavement,tempslibres,4,4,4
steamed milk --,snowmelt running from,the coffee shop roof,tempslibres,2,5,5
walking meditation --,I pass through,a cloud of breath,tempslibres,6,3,4
the courtship songs,of so many birds --,wind through my shirt,tempslibres,4,5,4
spring currents --,the first gulls,picking bones,tempslibres,"3,4",3,3
scent of new leaves --,a caterpillar swings,in a shaft of light,tempslibres,4,6,5
the empty bench --,spilled coffee,turned to ice,tempslibres,4,3,3
daylight moon --,the shadows of bubbles,under the ice,tempslibres,3,6,4
dog days --,driving to the lake,to watch the icebergs drift,tempslibres,2,5,6
after the rain --,a frog-shaped shadow,wavers in the puddle,tempslibres,4,4,6
wispy clouds --,the last blossom hangs,on the fireweed,tempslibres,3,5,5
discount store --,the unfinished tatoo,on the cashier's arm,tempslibres,3,6,5
new coolness --,a pool at the center,of the lupine leaves,tempslibres,3,6,5
spin cycle --,snow flakes swirl outside,the laundromat,tempslibres,3,5,4
sirens --,the wind pushes,a butterfly to the ground,tempslibres,2,4,7
the puddled field --,blades of grass,pierce a cloud,tempslibres,4,3,3
summer dust --,a caterpillar under,the whale bone arch,tempslibres,3,7,4
half-frog pose,I lie and listen,to the rain,tempslibres,2,5,3
fog patches --,a second little face,in the sonogram,tempslibres,3,6,5
a winged ant,crawls on hot asphalt --,end of summer,tempslibres,3,5,4
working Saturday --,the small shadows of pigeons,in the fog,tempslibres,5,7,3
night of meteors --,the first Christmas lights,go up on the block,tempslibres,5,5,5
scent of rain --,a whale-shaped cloud,hangs over the bay,tempslibres,3,3,5
between memories,and the parents' grave,the curtain of rain,tempslibres,5,5,5
skylight-,a contrail crosses,her line of coke,tempslibres,2,5,4
antique store-,the ocean loud,in a seashell,tempslibres,3,4,4
foggy glasses . . .,   a blurry paragraph,       above the bath water,tempslibres,4,6,6
the mailbox,captive in snowdrift,a letter from war,tempslibres,3,5,5
late afternoon ,a wind chime softly sings,in snowy garden,tempslibres,4,6,5
black ice,covers the street,uprooted tree,tempslibres,2,4,4
snow melt --,chewing gum spots appear,on the pavement,tempslibres,2,6,4
first crowing,breaks my sleep --,year of Rooster,tempslibres,3,3,4
traffic jam,melting snow runs,on the windshield,tempslibres,3,4,4
Japanese New Year,how small the new moon,in its halo,tempslibres,5,5,4
covered by snow,like the other stones,little Buddha,tempslibres,4,5,4
rivulets,on a foggy window,the cancer's spread,tempslibres,3,6,4
saying the rosary,a laborer,planting rice,tempslibres,6,4,3
rainy night---,her phone number,in my wallet,tempslibres,3,4,4
his shadow,passes me by---,the charcoal seller,tempslibres,3,4,5
the potter's fingers,wet with clay---,first rain,tempslibres,5,3,2
year's end --,a few tentative steps,on the river ice,tempslibres,2,6,5
garden wedding --,under the cherry blossoms,the bride's blush deepens,tempslibres,4,7,5
thaw--,a winter moth struggles,against a spider thread,tempslibres,1,6,6
evening rain,buying cherry trees,online,tempslibres,3,5,2
mid April,the grass finally,looks like grass,tempslibres,3,5,3
noon sun--,someone playing scales,on a saxophone,tempslibres,2,5,5
out of the fog,a white barn with painted,butterflies,tempslibres,4,6,3
paint peels off,the old white house,March thaw,tempslibres,3,4,2
same path,even in deep snow,the blind horse,tempslibres,2,5,3
shaving--,I share the mirror,with a spider,tempslibres,2,5,4
spring day,two hawks circle below,the contrails,tempslibres,"2,3",6,3
spring flies,buzz above my head--,E flat,tempslibres,"2,3",5,2
spring rain,cars slowly leave,the cemetery,tempslibres,"2,3",4,5
starless sky,dead batteries,in the flashlight,tempslibres,3,4,4
campfire coffee. . .,condor wings glean,the first rays of sun,tempslibres,5,4,5
seed catalogues,in the mail daily--,morning snow fluries,tempslibres,4,5,5
drip.drip.drip.drip.drip.,the anticipation,of maple syrup,tempslibres,1,6,5
new March snow,the grouse with a missing toe,still around,tempslibres,3,7,3
quick mid-winter thaw,each icicle drips,at its own pace,tempslibres,3,5,4
"topless,",the skyscraper,in rain mist,tempslibres,2,4,3
summer twilight,push mowers stop,for crickets,tempslibres,4,4,3
fresh sawdust,among the birches --,his bent shoulders,tempslibres,3,5,4
fragrant daphne <>,the money collector stops,before he knocks,tempslibres,4,7,4
hailstorm <>,under the groaning roof,I hold my breath,tempslibres,2,6,4
alone,in the tea house,rainy night,tempslibres,2,4,3
blinding snow,man and dog tracks,run together,tempslibres,3,4,4
cold rain,a bunch of daffodils,against the brick wall,tempslibres,2,6,5
night stillness,a new mail,in the inbox,tempslibres,3,3,4
Valentine's Day,a red rose,stuck in the snow,tempslibres,4,3,4
courtyard of my childhood --,after so many dead people,the old lilac in bloom,tempslibres,6,8,6
I completely forgot,"the magnolia-tree,",till its bloom,tempslibres,6,4,3
I light on again,the candle on her grave,extuinguished by wind,tempslibres,5,6,5
under floating clouds,the cherry blossom snow --,in the same direction,tempslibres,5,6,6
Valentine's Day --,awakened by a kiss,from the dog,tempslibres,4,6,3
drumming,heartbeat,in the mist,tempslibres,2,2,3
In the space-between,trees and mist,a white buffalo,tempslibres,3,3,5
a famished mallard,has emigrated,to the city zoo,tempslibres,5,5,5
an ancient path,in a sky without time,departing geese,tempslibres,4,6,4
her Sunday dress,the color of bruises,merging,tempslibres,4,6,2
Saturday night,the sound of weeping,seeps from the wall,tempslibres,4,5,4
warm rain on the pond,my thoughts rise,with the koi,tempslibres,5,3,3
to the headstone,old footsteps frozen,in old snow,tempslibres,4,5,3
pissing in a puddle,droplets of moonlight,on her sandal,tempslibres,6,5,4
mango flavoured tea,in a silver tin - departing guests,linger a while,tempslibres,6,9,4
cold snap-,her pause before,each tulip,tempslibres,2,4,3
Coltrane,two floors up...floats,out a window,tempslibres,2,3,4
her hair,brushed with moonlight...,forty years ago,tempslibres,2,4,5
flat moon ...,an aspirine tablet and a,glass of water,tempslibres,2,8,4
I wake beside,my daughter's sick bed,a howling dog,tempslibres,4,5,4
bitter cold--,we don't chase the lone crow,from the sparrow's food,tempslibres,3,6,5
that long-ago kiss--,and still Orion strides,the winter sky,tempslibres,3,6,4
drunk tonight---,an elixir of cherry blossoms,and moonlight,tempslibres,3,9,3
eyeing,the apple,at buddha's feet,tempslibres,2,3,4
"the farmer,",planting corn under,a pregnant moon,tempslibres,3,5,4
a fly beats,against the window --,melting snow,tempslibres,3,5,3
a soda can,shot full of holes --,spring sun,tempslibres,4,4,"2,3"
Easter morning --,I head out into,trackless snow,tempslibres,4,5,3
first pussy willows --,the sound of a woodpecker,shifts again,tempslibres,5,7,3
home sick --,just the sound,of icicles dripping,tempslibres,2,3,6
spring frost --,a tower light pierces,the sunset,tempslibres,"2,3",7,3
spring in the air --,my walking stick pierces,crusted snow,tempslibres,"4,5",7,3
subzero --,a moth flies towards,the moonlit door,tempslibres,3,"4,5",4
